"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu_alpha[1]",-0.561194129322009,-0.555871065,0.693567380207152,0.691581876321,-1.712468395,0.561905067,1.00033745411902,20326.0450876881,9318.46560476596
"mu_alpha[2]",1.30115638428604,1.36737835,0.908262062716161,0.944805686433,-0.2770133535,2.713012815,1.00014745526353,8025.61170750754,8078.71045453676
"mu_alpha[3]",0.56780741327337,0.5629161,0.787600554414203,0.79181907609,-0.711643229,1.856253325,1.00008492353683,16405.8125750709,8294.34663407898
"mu_alpha[4]",-0.064453449470638,-0.050642762,0.770386994976781,0.7636513632888,-1.348838615,1.18711671,1.00056683546746,17804.4957079806,9407.80843799166
"mu_alpha[5]",-0.40792540369555,-0.389833015,0.716542319669084,0.7104112580754,-1.60222981,0.7506698205,0.999993852774505,20921.3245518372,8503.19467408242
"mu_alpha[6]",0.244966820338636,0.250277445,0.763277404535098,0.763288633338,-1.03694109,1.47302863,1.00037942390473,21594.5467763576,9775.27532450391
"mu_alpha[7]",-0.237044938427545,-0.227215555,0.727679067750221,0.734333344143,-1.44253445,0.9397013545,0.999832107381776,21695.0657752379,9758.39310292772
"mu_alpha[8]",-0.268460837481322,-0.26222276,0.74596898975954,0.753480026019,-1.506166885,0.946250845,1.00108521814693,21245.073712758,8542.21889817833
"mu_alpha[9]",-0.38461840990071,-0.377054735,0.725027482194554,0.729053694348,-1.59195331,0.80459529,1.00003250375163,21209.3625498278,8832.11147350521
"mu_alpha[10]",-0.180540660222308,-0.1784376,0.764660885965024,0.765129562932,-1.45397633,1.060144175,1.00022582027506,18615.8014155421,9004.08174609849
"sigma_alpha[1]",0.625303561828586,0.52932797,0.475073403318075,0.474764117226,0.04696432945,1.54368441,1.00036141060245,9781.68406003039,6514.45479221761
"sigma_alpha[2]",1.37660406279599,1.3336996,0.833275727572019,0.94190556516,0.1370355605,2.827976985,1.00083683967963,4346.25080106148,5394.51049408589
"sigma_alpha[3]",0.801859192980443,0.677105815,0.603314135323406,0.59141558931,0.0639467557,1.949844735,1.00019628717417,6314.02800507477,5598.69624856551
"sigma_alpha[4]",0.846114591499903,0.724445195,0.617975142663546,0.629549336346,0.07295636615,2.036111995,1.00020148690412,7381.92906486403,6737.84525397582
"sigma_alpha[5]",0.693221595719013,0.582461775,0.525358659730973,0.509114876928,0.0576701278,1.70078759,1.00021793488609,9982.78748050472,6334.29956842752
"sigma_alpha[6]",1.01240802468744,0.89854999,0.712683680485453,0.756471089976,0.0739850231,2.349537485,0.999960874395962,7058.79208225882,6303.06920458637
"sigma_alpha[7]",0.73610968637098,0.629336665,0.553266388427066,0.548697027795,0.05523292435,1.77604488,1.00030168795381,10302.6446248981,6618.59369821714
"sigma_alpha[8]",0.734575203751216,0.61960823,0.556759920097695,0.550618914762,0.05944001075,1.800946815,1.00011725126414,9555.3262457381,6947.21533282292
"sigma_alpha[9]",0.710686455740399,0.59348632,0.536644290434772,0.517272824124,0.05856571585,1.758609055,0.999913005292644,9114.76222260362,6488.33438629418
"sigma_alpha[10]",0.773120403827665,0.657340265,0.582444593592458,0.57213934302,0.0595470153,1.89654687,1.00056125713144,8302.71090807037,5871.79286180434
"beta[1]",0.420705007559377,0.41641535,1.20241188875702,1.183488882219,-1.552917495,2.409420605,0.999824356491386,11799.1126187788,9662.54099545601
"beta[2]",0.441842535689401,0.33177536,1.72722480780242,1.45376343,-2.399472245,3.571846745,1.00112718633437,3065.58446478636,4333.06368202084
"beta[3]",-3.30066735067778,-3.31677695,1.15837223703372,1.14992998659,-5.193583805,-1.376412965,0.999894794609557,10349.3720925304,8822.11330755717
"beta[4]",-0.0759580350470675,-0.0821105845,1.53633717009343,1.59184130385,-2.559869515,2.45419825,1.0003865686322,7272.62014933485,9052.11585055116
"beta[5]",0.40043351378492,0.390341855,1.26210371355484,1.254210481188,-1.635651915,2.47570767,1.00026230189258,13557.4592316462,9945.88623378464
"beta[6]",1.58411762907617,1.6827745,1.52587459524056,1.45442926566,-1.12131195,3.932113195,1.00033791517544,8893.26780759578,8998.92446520225
"beta[7]",0.530638482845701,0.544057475,1.37766015316801,1.387649670288,-1.76930006,2.746933905,1.00006748320899,14264.9242993162,10238.8167191711
"beta[8]",-0.162415640309967,-0.16177277,1.39437257651289,1.381140137076,-2.47014578,2.10318118,1.00002752835189,11406.2640113163,9107.01428514767
"beta[9]",0.355148314653853,0.352634375,1.32489753154357,1.311310373898,-1.837479745,2.562822535,1.00014234122807,14627.4780297376,9484.06518952683
"beta[10]",-0.223491963227977,-0.231770535,1.45548986496252,1.471210103412,-2.624273475,2.2001954,1.00032606254697,8859.43583746207,9550.10971658624
