"scale","ethical_principle","diff"
"scale = 1","selfishness",-0.0686250362
"scale = 1","generosity",0.278382195
"scale = 1","tradition
 compliance",0.0431421528
"scale = 1","reward
 labor",0.0100243195
"scale = 1","reward
 land",0.2837180513
"scale = 1","reward
 resource",0.045736614
"scale = 1","reward labor
 and land",-0.0111602986
"scale = 1","reward labor
 and resource",-0.68336066
"scale = 1","reward land
 and resource",0.041303942
"scale = 1","reward
 all three",0.060838727
"scale = 1","selfishness",-0.0261486026
"scale = 1","generosity",-0.117547594
"scale = 1","tradition
 compliance",0.007187003
"scale = 1","reward
 labor",0.12117356
"scale = 1","reward
 land",0.2735923626
"scale = 1","reward
 resource",0.021654976
"scale = 1","reward labor
 and land",-0.096851288
"scale = 1","reward labor
 and resource",-0.4378560769
"scale = 1","reward land
 and resource",0.245785964
"scale = 1","reward
 all three",0.0090097
"scale = 1","selfishness",0.016054791
"scale = 1","generosity",0.000574403
"scale = 1","tradition
 compliance",0.196415684
"scale = 1","reward
 labor",-0.39726416
"scale = 1","reward
 land",-0.039270846
"scale = 1","reward
 resource",0.1744921515
"scale = 1","reward labor
 and land",0.103423684
"scale = 1","reward labor
 and resource",-0.01055327
"scale = 1","reward land
 and resource",-0.037055083
"scale = 1","reward
 all three",-0.006817359
"scale = 1","selfishness",-0.029062781
"scale = 1","generosity",0.10761518
"scale = 1","tradition
 compliance",-0.0457892978
"scale = 1","reward
 labor",0.0004587875
"scale = 1","reward
 land",0.044730822
"scale = 1","reward
 resource",-0.131178154
"scale = 1","reward labor
 and land",-0.086954767
"scale = 1","reward labor
 and resource",0.0336062124
"scale = 1","reward land
 and resource",0.0856324758
"scale = 1","reward
 all three",0.020941519
"scale = 1","selfishness",0.2998031428
"scale = 1","generosity",0.0074832448
"scale = 1","tradition
 compliance",-0.916654947
"scale = 1","reward
 labor",0.0477895394
"scale = 1","reward
 land",0.120514271
"scale = 1","reward
 resource",0.05123986733
"scale = 1","reward labor
 and land",0.0159740534
"scale = 1","reward labor
 and resource",0.24111501092
"scale = 1","reward land
 and resource",0.086101913
"scale = 1","reward
 all three",0.04663390458
"scale = 1","selfishness",0.0331132739
"scale = 1","generosity",0.39448717
"scale = 1","tradition
 compliance",0.12173917386
"scale = 1","reward
 labor",0.048732008
"scale = 1","reward
 land",-0.0449198231
"scale = 1","reward
 resource",-0.525222853
"scale = 1","reward labor
 and land",0.086538652
"scale = 1","reward labor
 and resource",-0.079024977
"scale = 1","reward land
 and resource",0.003304938
"scale = 1","reward
 all three",-0.038747565
"scale = 1","selfishness",-0.192135002
"scale = 1","generosity",0.0120258159
"scale = 1","tradition
 compliance",0.067753156
"scale = 1","reward
 labor",0.4828839139
"scale = 1","reward
 land",0.0322963307
"scale = 1","reward
 resource",-0.313168729
"scale = 1","reward labor
 and land",-0.080369353
"scale = 1","reward labor
 and resource",-0.051433723
"scale = 1","reward land
 and resource",0.016945501
"scale = 1","reward
 all three",0.02520209
"scale = 1","selfishness",0.3074783872
"scale = 1","generosity",-0.417858739
"scale = 1","tradition
 compliance",-0.010941354
"scale = 1","reward
 labor",-0.1456813615
"scale = 1","reward
 land",-0.222388869
"scale = 1","reward
 resource",0.2074148718
"scale = 1","reward labor
 and land",0.039558092
"scale = 1","reward labor
 and resource",0.144420886
"scale = 1","reward land
 and resource",0.083519801
"scale = 1","reward
 all three",0.0144782805
"scale = 1","selfishness",0.005519253
"scale = 1","generosity",-0.21259819
"scale = 1","tradition
 compliance",0.276381244
"scale = 1","reward
 labor",-0.05883227
"scale = 1","reward
 land",-0.148318126
"scale = 1","reward
 resource",0.2593898294
"scale = 1","reward labor
 and land",0.100690307
"scale = 1","reward labor
 and resource",-0.149036876
"scale = 1","reward land
 and resource",0.104855286
"scale = 1","reward
 all three",-0.1780504683
"scale = 1","selfishness",0.223034265
"scale = 1","generosity",-0.01437101715
"scale = 1","tradition
 compliance",-0.050213949
"scale = 1","reward
 labor",-0.000335238000000002
"scale = 1","reward
 land",-0.005028423
"scale = 1","reward
 resource",0.124469134
"scale = 1","reward labor
 and land",0.019319593
"scale = 1","reward labor
 and resource",0.21110776
"scale = 1","reward land
 and resource",-0.500253965
"scale = 1","reward
 all three",-0.007728157
"scale = 1","selfishness",-0.09031861
"scale = 1","generosity",0.047150428
"scale = 1","tradition
 compliance",0.478131387
"scale = 1","reward
 labor",-0.146452571
"scale = 1","reward
 land",-0.0460019578
"scale = 1","reward
 resource",-0.032677851
"scale = 1","reward labor
 and land",-0.067763202
"scale = 1","reward labor
 and resource",-0.027885806
"scale = 1","reward land
 and resource",0.021794606
"scale = 1","reward
 all three",-0.135976425
"scale = 1","selfishness",-0.1479433359
"scale = 1","generosity",0.057185624
"scale = 1","tradition
 compliance",-0.070819368
"scale = 1","reward
 labor",0.0568003921
"scale = 1","reward
 land",-0.1438343
"scale = 1","reward
 resource",-0.028035275
"scale = 1","reward labor
 and land",0.038721628
"scale = 1","reward labor
 and resource",0.002650365
"scale = 1","reward land
 and resource",0.086351409
"scale = 1","reward
 all three",0.14892285
"scale = 1","selfishness",0.36611641
"scale = 1","generosity",-0.086524255
"scale = 1","tradition
 compliance",-0.049848461
"scale = 1","reward
 labor",-0.282106845
"scale = 1","reward
 land",0.020953223
"scale = 1","reward
 resource",0.107977576
"scale = 1","reward labor
 and land",-0.002483154
"scale = 1","reward labor
 and resource",-0.05814404
"scale = 1","reward land
 and resource",-0.01024423
"scale = 1","reward
 all three",-0.00569621
"scale = 1","selfishness",-0.2439374246
"scale = 1","generosity",0.1098623485
"scale = 1","tradition
 compliance",0.179790855
"scale = 1","reward
 labor",0.0420268058
"scale = 1","reward
 land",-0.018585712
"scale = 1","reward
 resource",0.012478646
"scale = 1","reward labor
 and land",-0.244426591
"scale = 1","reward labor
 and resource",-0.035380557
"scale = 1","reward land
 and resource",0.284591692
"scale = 1","reward
 all three",-0.08642007
"scale = 1","selfishness",0.233536329
"scale = 1","generosity",-0.293143341
"scale = 1","tradition
 compliance",-0.023020763
"scale = 1","reward
 labor",-0.356287277
"scale = 1","reward
 land",0.017223461
"scale = 1","reward
 resource",0.013711341
"scale = 1","reward labor
 and land",0.410493067
"scale = 1","reward labor
 and resource",0.01984056
"scale = 1","reward land
 and resource",-0.031826577
"scale = 1","reward
 all three",0.0094731858
"scale = 1","selfishness",-0.076323999
"scale = 1","generosity",0.1604908371
"scale = 1","tradition
 compliance",0.155228873
"scale = 1","reward
 labor",0.0695819237
"scale = 1","reward
 land",0.030192269
"scale = 1","reward
 resource",0.004993563
"scale = 1","reward labor
 and land",-0.0761353037
"scale = 1","reward labor
 and resource",0.020609432
"scale = 1","reward land
 and resource",0.149338762
"scale = 1","reward
 all three",-0.43797637
"scale = 1","selfishness",0.227862302
"scale = 1","generosity",-0.221052687
"scale = 1","tradition
 compliance",-0.03653037
"scale = 1","reward
 labor",-0.471786575
"scale = 1","reward
 land",0.048061178
"scale = 1","reward
 resource",0.032457913
"scale = 1","reward labor
 and land",0.379634787
"scale = 1","reward labor
 and resource",0.035083005
"scale = 1","reward land
 and resource",-0.011900892
"scale = 1","reward
 all three",0.0181713357
"scale = 1","selfishness",-0.0278788542
"scale = 1","generosity",-0.0224607717
"scale = 1","tradition
 compliance",-0.137212212
"scale = 1","reward
 labor",0.056456753
"scale = 1","reward
 land",0.022608339
"scale = 1","reward
 resource",-0.0018156102
"scale = 1","reward labor
 and land",-0.6948046326
"scale = 1","reward labor
 and resource",-0.0378857526
"scale = 1","reward land
 and resource",0.8130133085
"scale = 1","reward
 all three",0.029979433
"scale = 1","selfishness",0.012823921
"scale = 1","generosity",0.015040691
"scale = 1","tradition
 compliance",0.330312246
"scale = 1","reward
 labor",0.129797628
"scale = 1","reward
 land",-0.170279785
"scale = 1","reward
 resource",-0.279657758
"scale = 1","reward labor
 and land",0.2050623111
"scale = 1","reward labor
 and resource",-0.02267801
"scale = 1","reward land
 and resource",-0.3987877165
"scale = 1","reward
 all three",0.178366467
"scale = 1","selfishness",-0.073343798
"scale = 1","generosity",-0.031104061
"scale = 1","tradition
 compliance",-0.3653657135
"scale = 1","reward
 labor",-0.1284293251
"scale = 1","reward
 land",0.0558898462
"scale = 1","reward
 resource",0.0902070527
"scale = 1","reward labor
 and land",-0.2308755399
"scale = 1","reward labor
 and resource",0.032459814
"scale = 1","reward land
 and resource",0.6860818089
"scale = 1","reward
 all three",-0.0355200824
"scale = 1","selfishness",0.0595762426
"scale = 1","generosity",-0.436260688
"scale = 1","tradition
 compliance",0.081512599
"scale = 1","reward
 labor",-0.060732488
"scale = 1","reward
 land",-0.105113213
"scale = 1","reward
 resource",0.176588601
"scale = 1","reward labor
 and land",0.023873663
"scale = 1","reward labor
 and resource",0.30873865
"scale = 1","reward land
 and resource",-0.038549995
"scale = 1","reward
 all three",-0.009633374
"scale = 1","selfishness",0.0767323763
"scale = 1","generosity",-0.327821171
"scale = 1","tradition
 compliance",0.125272293
"scale = 1","reward
 labor",-0.159048145
"scale = 1","reward
 land",-0.188221153
"scale = 1","reward
 resource",0.559598361
"scale = 1","reward labor
 and land",-0.005302868
"scale = 1","reward labor
 and resource",-0.015916398
"scale = 1","reward land
 and resource",-0.054703348
"scale = 1","reward
 all three",-0.010589951
"scale = 1","selfishness",-0.524627372
