"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu_alpha[1]",-0.69628339863316,-0.6735131,0.649756096170007,0.644114969547,-1.79859816,0.3612758085,1.00004400051731,7278.68751095996,3324.25009648232
"mu_alpha[2]",1.4736578290887,1.5139466,0.71223379803187,0.71895781104,0.2226320825,2.55270277,0.999844520584032,4820.22131129297,3377.26061163662
"mu_alpha[3]",1.27101017516874,1.28450125,0.699010971015733,0.70193385654,0.100868536,2.382334035,1.00096780642316,5153.86711932827,3412.86836396143
"mu_alpha[4]",-0.16211393285599,-0.145116405,0.71326678755916,0.713090339997,-1.34243146,1.0008513,0.999947307411067,7387.46445845789,3411.71973746804
"mu_alpha[5]",-0.55070107507522,-0.55030895,0.674323436692951,0.6843503080134,-1.66225648,0.5448168845,1.00661994574568,8121.54252552434,3255.12742122782
"mu_alpha[6]",0.263434589972895,0.27912837,0.779093211227532,0.769309812936,-1.04640936,1.507605405,0.999682313527239,6724.99549389923,3380.93136181463
"mu_alpha[7]",-0.355668387445275,-0.33371108,0.68973546552152,0.680486965242,-1.524263055,0.734094086,1.00053591018616,8257.10228872222,2808.75744842933
"mu_alpha[8]",-0.40736935202642,-0.39767202,0.703192791561674,0.698406373077,-1.598766115,0.7133185365,1.00003544456093,8571.87501079347,2366.13026126339
"mu_alpha[9]",-0.524531319967075,-0.51339146,0.704334401713125,0.6921589894905,-1.70272217,0.6155774445,1.00153796733394,7538.03319140847,3056.33722987425
"mu_alpha[10]",-0.325944945972932,-0.31695113,0.667968660686428,0.666613446786,-1.431701685,0.7638445495,1.00014943127099,6865.16585842044,3086.36737164651
"sigma_alpha[1]",0.585407513016957,0.49273581,0.449368404968777,0.447041721126,0.03958156185,1.439437665,1.00034078036069,3022.70644101229,2021.62802998921
"sigma_alpha[2]",1.22954319939303,1.1878359,0.743262177353743,0.806727138,0.127461053,2.53958828,1.00004315034292,1762.20676360042,1595.41729498034
"sigma_alpha[3]",0.889062182064953,0.746950325,0.670380395053016,0.643522641195,0.07448117215,2.19696303,1.00176157766211,2041.49892712894,2445.04129391072
"sigma_alpha[4]",0.75768588828545,0.642969845,0.563596191739511,0.562579879218,0.06083554255,1.85214128,1.00003579320208,2685.72832279567,2308.65776682812
"sigma_alpha[5]",0.64487253319921,0.5305127,0.505533439551085,0.482159933892,0.04280662895,1.59692706,1.0002392328243,3340.06977132188,2035.46562333133
"sigma_alpha[6]",0.981152510685734,0.868043655,0.695811896399586,0.718964290002,0.0829207914,2.29986238,1.00097256318895,2035.19045257398,1935.59928415524
"sigma_alpha[7]",0.673573211545575,0.571177525,0.5040830514252,0.498763415619,0.0609911033,1.62491915,0.999805632733735,3243.49853169909,2178.34463173417
"sigma_alpha[8]",0.685865899764231,0.581498765,0.509062241191651,0.499884809781,0.06251790095,1.64991509,1.00041106543624,3106.11996418079,2568.7897841998
"sigma_alpha[9]",0.663848256493121,0.568204805,0.503732234479917,0.490389238626,0.04402513045,1.62778427,1.00087721927586,2834.27738373622,1787.07470432082
"sigma_alpha[10]",0.71351797861055,0.60115991,0.535731449104167,0.522025921116,0.0673167663,1.73513173,1.00060434707632,3440.53668098793,2780.03860419085
"beta[1]",0.261691903834048,0.250606135,0.764572529579746,0.754698953022,-0.979768705,1.538066135,1.0009552707349,7632.40710786708,2969.48224136831
"beta[2]",0.19448937849836,0.203836315,0.730353943882467,0.710093879376,-0.9713549855,1.343912435,0.999777278371158,3637.93667713708,2848.0961035034
"beta[3]",-1.70962387630981,-1.7148382,0.813671719875866,0.81031829172,-3.075721575,-0.374469438500001,1.00085342428053,4000.66397406555,3163.00986976375
"beta[4]",0.0671045163410275,0.0686165745,0.857211131701343,0.8432143621083,-1.349658485,1.46722089,0.999607954487252,7064.19207918413,3304.32371544469
"beta[5]",0.235833093125398,0.231416705,0.785747214414121,0.759285479904,-1.05767566,1.540824795,1.00149956197826,6760.43733276812,3117.28332189472
"beta[6]",0.411609892226472,0.438209485,0.96838158267291,0.996030272559,-1.20735841,2.015969135,1.00035707291027,5016.20929064341,3270.29852874585
"beta[7]",0.263656941708327,0.26601034,0.832715157899718,0.81737539359,-1.14004928,1.59656187,0.99986690941424,6912.14276502501,3301.81393456249
"beta[8]",0.0317016695209425,0.0215696065,0.818443547840599,0.8272447230159,-1.330529225,1.38314536,1.0010367273573,6911.69973397364,3411.23230887529
"beta[9]",0.226207498627802,0.222625465,0.820152268281278,0.818738859267,-1.113769215,1.5727013,1.00164511084639,7457.79037544559,3161.77621423447
"beta[10]",-0.0499701685471875,-0.044678276,0.8380811814694,0.8115189012,-1.445897885,1.31681639,1.00318353418841,6153.68182847533,2912.8220998601
