"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.0341740126154,-0.02619838656,0.140738693673,0.7595,0.2405
"generosity",0.185960723864475,-0.1185374745,0.53683691615,0.824,0.176
"tradition
 compliance",-0.539897947232485,-0.777719877,-0.2205530995,0.00825,0.99175
"reward
 labor",0.036443997417015,-0.08804604741,0.21670992405,0.65425,0.34575
"reward
 land",0.0399323891870275,-0.03865897595,0.176698649159999,0.7285,0.2715
"reward
 resource",0.10615801572142,-0.129020027,0.429545556399999,0.7555,0.2445
"reward labor
 and land",0.0506452436949825,-0.0465983309,0.22048719878,0.74675,0.25325
"reward labor
 and resource",0.0251223432518325,-0.0642469487,0.153796003825,0.6355,0.3645
"reward land
 and resource",0.04210669027737,-0.043421495915,0.1996065326,0.725,0.275
"reward
 all three",0.019354531339395,-0.088401701615,0.15448276143,0.596,0.404
