"ethical_principle","mean","ci_lower","ci_upper","relationship"
"selfishness",0.0108866795618987,0.000554377054,0.0373690153,"kin/friends"
"generosity",0.0971108780891551,0.0005406552855,0.286733695,"kin/friends"
"tradition
 compliance",0.71711063746575,0.503815395,0.8827211195,"kin/friends"
"reward
 labor",0.0383280838938775,0.000636771669,0.1413425075,"kin/friends"
"reward
 land",0.0148519159238835,0.0005179137315,0.05059475725,"kin/friends"
"reward
 resource",0.0195810778701821,0.000135112141,0.09473894975,"kin/friends"
"reward labor
 and land",0.0179626123488442,0.0004458495465,0.06993303125,"kin/friends"
"reward labor
 and resource",0.0307519916063997,0.000883151528,0.1122294605,"kin/friends"
"reward land
 and resource",0.0155076739709853,0.0005200826775,0.0548738046,"kin/friends"
"reward
 all three",0.037908449168986,0.000913168793,0.132925489,"kin/friends"
"selfishness",0.0474221884270325,0.00212721385,0.1657288115,"non-kin/non-friends"
"generosity",0.287152922202009,0.00677236556500001,0.6909888815,"non-kin/non-friends"
"tradition
 compliance",0.0092836476253094,9.30408378e-05,0.0391141174499999,"non-kin/non-friends"
"reward
 labor",0.0701513402781024,0.00113920285,0.2837576045,"non-kin/non-friends"
"reward
 land",0.060892717687766,0.001911209495,0.2307668795,"non-kin/non-friends"
"reward
 resource",0.28423257646883,0.01104301265,0.6763942475,"non-kin/non-friends"
"reward labor
 and land",0.081639106531889,0.00220132102,0.2948208125,"non-kin/non-friends"
"reward labor
 and resource",0.045587438145654,0.000963879989,0.173496147,"non-kin/non-friends"
"reward land
 and resource",0.0627701787844815,0.001967222145,0.236935146,"non-kin/non-friends"
"reward
 all three",0.0508678838302634,0.000916158888,0.215720398,"non-kin/non-friends"
