"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.00104815974969938,-0.6372332929705,0.64278068287325,0.49375,0.50625
"generosity",0.0112974566044987,-0.632573840227,0.710045805876749,0.513,0.487
"tradition
 compliance",0.0024398199933682,-0.67220000530625,0.686515710645777,0.5025,0.4975
"reward
 labor",-0.00109803822568176,-0.700303341299225,0.66106471431315,0.49575,0.50425
"reward
 land",0.00478358628142067,-0.68166487634892,0.665375907612299,0.51625,0.48375
"reward
 resource",-0.00127493365612813,-0.627930634562715,0.639911092975098,0.49825,0.50175
"reward labor
 and land",-0.00242827057539442,-0.68576668946113,0.670178149889448,0.494,0.506
"reward labor
 and resource",-0.00779823395491207,-0.6953994615805,0.643344483253098,0.49075,0.50925
"reward land
 and resource",-0.00141622755636291,-0.68190991123542,0.6691239018106,0.5075,0.4925
"reward
 all three",-0.00555331865699328,-0.72757749034915,0.696270070020057,0.49525,0.50475
