"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.0370916279077977,-0.023742809681,0.1589900196095,0.756833333333333,0.243166666666667
"generosity",0.193048352432664,-0.2203599608,0.6956800907,0.74075,0.25925
"tradition
 compliance",-0.708988898328588,-0.879491534203,-0.48572736854,0.000833333333333333,0.999166666666667
"reward
 labor",0.0301650723129185,-0.13117490117,0.264506605435,0.548333333333333,0.451666666666667
"reward
 land",0.0459809941602188,-0.0384370365,0.2127654146945,0.726916666666667,0.273083333333333
"reward
 resource",0.2608629027568,-0.0471153125,0.66268277791,0.899166666666667,0.100833333333333
"reward labor
 and land",0.0656671592275424,-0.05142087854,0.284041466687,0.740083333333333,0.259916666666667
"reward labor
 and resource",0.0152499595524775,-0.099074109665,0.170309993361,0.539666666666667,0.460333333333333
"reward land
 and resource",0.0472817479934073,-0.045738936455,0.24094967564,0.698083333333333,0.301916666666667
"reward
 all three",0.0136410819744528,-0.125458925705,0.197596947065,0.512333333333333,0.487666666666667
