"ethical_principle","mean","ci_lower","ci_upper","relationship"
"selfishness",0.100460094742329,0.0004145513315,0.552622338,"kin/friends"
"generosity",0.0960794621995495,0.0003994907985,0.5081614235,"kin/friends"
"tradition
 compliance",0.101492953968065,0.00042862288,0.544024245,"kin/friends"
"reward
 labor",0.100287402000314,0.0004244500125,0.534939217499999,"kin/friends"
"reward
 land",0.0983758747999312,0.000411029403,0.516007706999999,"kin/friends"
"reward
 resource",0.106971800112005,0.000360754857,0.576782594,"kin/friends"
"reward labor
 and land",0.0992392281997183,0.0004157170345,0.5247260445,"kin/friends"
"reward labor
 and resource",0.0962847826511833,0.0004889774,0.510147928499999,"kin/friends"
"reward land
 and resource",0.0992945610838739,0.000390994259,0.533552086499998,"kin/friends"
"reward
 all three",0.101513840184579,0.0004227595985,0.552455421999998,"kin/friends"
"selfishness",0.102702487275477,0.0003890783345,0.541203141499999,"non-kin/non-friends"
"generosity",0.100446759924494,0.000471914318,0.515462243499999,"non-kin/non-friends"
"tradition
 compliance",0.0972303754023615,0.0004228068545,0.5215513265,"non-kin/non-friends"
"reward
 labor",0.0984447903238565,0.000397562809,0.509962450499999,"non-kin/non-friends"
"reward
 land",0.103071818975842,0.0004181753365,0.5429826785,"non-kin/non-friends"
"reward
 resource",0.10279617263013,0.0004010421175,0.545315339,"non-kin/non-friends"
"reward labor
 and land",0.0991924264086711,0.000363630418,0.504209330499999,"non-kin/non-friends"
"reward labor
 and resource",0.0973825480809121,0.0004521211795,0.5068062545,"non-kin/non-friends"
"reward land
 and resource",0.100344060224166,0.000432928196,0.530072899999998,"non-kin/non-friends"
"reward
 all three",0.0983885607937225,0.0003846615145,0.517581671,"non-kin/non-friends"
