"ethical_principle","mean","ci_lower","ci_upper","prob_positive","prob_negative"
"selfishness",0.00224239253314761,-0.54561802174,0.535105403409999,0.5045,0.4955
"generosity",0.00436729772494478,-0.501390506655,0.506860003054,0.51075,0.48925
"tradition
 compliance",-0.00426257856570375,-0.5375746574335,0.517057782953999,0.501125,0.498875
"reward
 labor",-0.00184261167645721,-0.529955540545,0.504981251883499,0.49875,0.50125
"reward
 land",0.00469594417591079,-0.512126415006,0.534871572078,0.50175,0.49825
"reward
 resource",-0.00417562748187509,-0.56857076685604,0.535675521803,0.495125,0.504875
"reward labor
 and land",-4.68017910471748e-05,-0.5185413607325,0.495860055264999,0.5015,0.4985
"reward labor
 and resource",0.00109776542972878,-0.49975749248,0.491066108409999,0.49825,0.50175
"reward land
 and resource",0.00104949914029173,-0.52390301335,0.527056391419999,0.501875,0.498125
"reward
 all three",-0.00312527939085704,-0.54648319301,0.508822020314997,0.5,0.5
